Group,countries,site,no.sites,ID,lats,longs,sample.size,country.size,radius2,radius,lats.min,lats.max,longs.min,longs.max
1,Malawi,Chikwawa,1,af1,-16.166667,34.75,317,118484,0.435484,1.250529631,-17.41719663,-14.91613737,33.49947037,36.00052963
1,Malawi,Zomba,2,af1,-15.383333,35.333333,52,118484,0.170484,0.858001672,-16.24133467,-14.52533133,34.47533133,36.19133467
1,Congo,Kinshasa,3,af1,-4.316667,15.316667,113,2345000,2.458,1.026539222,-5.343206222,-3.290127778,14.29012778,16.34320622
2,Ghana ,Kassena,1,af2,10.884722,-1.090278,549,238535,0.787535,1.369786172,9.514935828,12.25450817,-2.460064172,0.279508172
3,Nigeria,Ilorin,1,af3,8.5,4.55,5,923768,0.928768,0.349485002,8.150514998,8.849485002,4.200514998,4.899485002
3,Senegal,Thies,2,af3,14.783333,-16.916667,133,196712,0.329712,0.53096291,14.25237009,15.31429591,-17.44762991,-16.38570409
3,Senegal,Velingara,3,af3,13.15,-14.116667,4,196712,0.200712,0.301029996,12.84897,13.45103,-14.417697,-13.815637
3,Mali,Bandiagara,4,af3,14.35,-3.611111,9,1240000,1.249,0.477121255,13.87287875,14.82712125,-4.088232255,-3.133989745
3,Mali,Faladje,5,af3,13.138889,-8.337778,36,1240000,1.276,0.77815125,12.36073775,13.91704025,-9.11592925,-7.55962675
3,Mali,Kolle,6,af3,12.204722,-8.266667,51,1240000,1.291,0.853785088,11.35093691,13.05850709,-9.120452088,-7.412881912
4,Gambia,GM_Coastal,1,af4,13.433333,-16.666667,65,10689,0.075689,0.906456678,12.52687632,14.33978968,-17.57312368,-15.76021032
4,Guinea,Nzerekore,2,af4,7.75,-8.816667,100,245857,0.345857,1,6.75,8.75,-9.816667,-7.816667
4,Ghana ,Kintampo,3,af4,8.052222,-1.734722,68,238535,0.306535,0.916254456,7.135967544,8.968476456,-2.650976456,-0.818467544
5,Cambodia ,Pursat,1,as5,12.533333,103.916667,235,181035,0.416035,1.185533931,11.34779907,13.71886693,102.7311331,105.1022009
5,Cambodia ,Pailin,2,as5,12.850556,102.609444,84,181035,0.265035,0.962139643,11.88841636,13.81269564,101.6473044,103.5715836
5,Thailand ,Sisakhet,3,as5,15.12,104.321667,22,513120,0.53512,0.67121134,14.44878866,15.79121134,103.6504557,104.9928783
6,Vietnam,Bu Dang,1,as6,11.769167,107.237222,1,331210,0.33221,0,11.769167,11.769167,107.237222,107.237222
6,Vietnam,Bu Gia Map,2,as6,10.949167,106.989167,64,331210,0.39521,0.903089987,10.04607701,11.85225699,106.086077,107.892257
6,Vietnam,Phuoc Long,3,as6,11.75,106.916667,32,331210,0.36321,0.752574989,10.99742501,12.50257499,106.164092,107.669242
6,Laos,Attapeu,4,as6,14.8,106.833,85,237955,0.322955,0.964709463,13.83529054,15.76470946,105.8682905,107.7977095
6,Cambodia ,Ratanakiri,5,as6,13.733333,107,147,181035,0.328035,1.083658667,12.64967433,14.81699167,105.9163413,108.0836587
6,Cambodia ,Preah Vihear,6,as6,14.39,104.68,104,181035,0.285035,1.00851667,13.38148333,15.39851667,103.6714833,105.6885167
7,Bangladesh,Ramu,1,as7,21.458333,92.1,50,147570,0.19757,0.849485002,20.608848,22.307818,91.250515,92.949485
7,Myanmar,Bago Division,2,as7,18.25,96,60,676578,0.736578,0.889075625,17.36092437,19.13907563,95.11092437,96.88907563
7,Thailand ,Mae Sot,3,as7,16.713056,98.574722,106,513120,0.61912,1.012652933,15.70040307,17.72570893,97.56206907,99.58737493
7,Thailand ,Ranong,4,as7,9.966944,98.635556,20,513120,0.53312,0.650514998,9.316429002,10.617459,97.985041,99.286071
8,Thailand,,1,pv1,13.75,100.483333,92,,,0.981893914,12.76810609,14.73189391,99.50143909,101.4652269
9,Indonesia,,1,pv2,-6.175,106.828333,55,,,0.870181345,-7.045181345,-5.304818655,105.9581517,107.6985143
9,Malaysia,,2,pv2,3.133333,101.683333,6,,,0.389075625,2.744257375,3.522408625,101.2942574,102.0724086
9,Papua New Guinea,,3,pv2,-9.5,147.116667,11,,,0.520696343,-10.02069634,-8.979303657,146.5959707,147.6373633
10,Cambodia,,1,pv3,11.55,104.916667,40,,,0.801029996,10.74897,12.35103,104.115637,105.717697
10,Laos,,2,pv3,16.166667,107.833333,2,,,0.150514998,16.016152,16.317182,107.682818,107.983848
10,Vietnam,,3,pv3,17.966667,102.6,14,,,0.573064018,17.39360298,18.53973102,102.026936,103.173064
11,Brazil,,1,pv4,19.75,96.1,3,,,0.238560627,19.51143937,19.98856063,95.86143937,96.33856063
11,China,,2,pv4,39.916667,116.383333,1,,,0,39.916667,39.916667,116.383333,116.383333
11,India,,3,pv4,-18.916667,47.516667,1,,,0,-18.916667,-18.916667,47.516667,47.516667
11,Madagascar,,4,pv4,6.933333,79.866667,1,,,0,6.933333,6.933333,79.866667,79.866667
11,Myanmar (Burma),,5,pv4,-15.79,-47.88,1,,,0,-15.79,-15.79,-47.88,-47.88
11,Sri Lanka,,6,pv4,28.613333,77.208333,1,,,0,28.613333,28.613333,77.208333,77.208333
